"CustomerKey";"Prefix";"FirstName";"LastName";"BirthDate";"MaritalStatus";"Gender";"EmailAddress";"AnnualIncome";"TotalChildren";"EducationLevel";"Occupation";"HomeOwner"
11043;"MR.";"NATHAN";"SIMMONS";"1976-02-24";"M";"M";"nathan11@adventure-works.com";60000;0;"Partial College";"Skilled Manual";"Y"
11044;"MR.";"ADAM";"FLORES";"1949-05-24";"M";"M";"adam10@adventure-works.com";20000;2;"Partial High School";"Clerical";"Y"
11045;"MR.";"LEONARD";"NARA";"1950-05-19";"S";"M";"leonard18@adventure-works.com";30000;3;"High School";"Skilled Manual";"N"
11046;"MRS.";"CHRISTINE";"YUAN";"1950-03-22";"M";"F";"christine4@adventure-works.com";30000;3;"High School";"Skilled Manual";"Y"
11047;"MRS.";"JACLYN";"LU";"1950-02-27";"M";"F";"jaclyn12@adventure-works.com";30000;3;"High School";"Skilled Manual";"N"
11048;"MR.";"JEREMY";"POWELL";"1950-11-22";"M";"M";"jeremy26@adventure-works.com";30000;3;"High School";"Skilled Manual";"Y"
11049;"MS.";"CAROL";"RAI";"1980-07-18";"S";"F";"carol8@adventure-works.com";40000;0;"Partial High School";"Clerical";"Y"
11050;"MR.";"ALAN";"ZHENG";"1951-09-07";"M";"M";"alan23@adventure-works.com";30000;3;"High School";"Skilled Manual";"Y"
11051;"MR.";"DANIEL";"JOHNSON";"1951-08-04";"S";"M";"daniel18@adventure-works.com";30000;3;"High School";"Skilled Manual";"N"
11052;"MRS.";"HEIDI";"LOPEZ";"1951-08-07";"S";"F";"heidi19@adventure-works.com";40000;2;"Partial College";"Clerical";"N"
11053;"MS.";"ANA";"PRICE";"1980-08-20";"M";"F";"ana0@adventure-works.com";60000;0;"Partial College";"Skilled Manual";"N"
11054;"MRS.";"DEANNA";"MUNOZ";"1952-03-10";"M";"F";"deanna33@adventure-works.com";40000;2;"Partial College";"Skilled Manual";"Y"
11055;"MR.";"GILBERT";"RAJE";"1952-03-05";"M";"M";"gilbert35@adventure-works.com";40000;2;"Partial College";"Skilled Manual";"Y"
11056;"MRS.";"MICHELE";"NATH";"1953-04-03";"M";"F";"michele19@adventure-works.com";40000;3;"Partial College";"Skilled Manual";"Y"
11057;"MR.";"CARL";"ANDERSEN";"1953-10-12";"M";"M";"carl12@adventure-works.com";70000;2;"Graduate Degree";"Management";"Y"
11058;"MR.";"MARC";"DIAZ";"1954-04-27";"M";"M";"marc6@adventure-works.com";80000;2;"Partial College";"Skilled Manual";"Y"
11059;"MRS.";"ASHLEE";"ANDERSEN";"1954-04-01";"S";"F";"ashlee19@adventure-works.com";80000;2;"Partial College";"Skilled Manual";"Y"
11060;"MR.";"JON";"ZHOU";"1954-03-17";"M";"M";"jon28@adventure-works.com";80000;2;"Partial College";"Skilled Manual";"Y"
11061;"MR.";"TODD";"GAO";"1954-02-27";"M";"M";"todd14@adventure-works.com";80000;2;"Partial College";"Skilled Manual";"Y"
11062;"MR.";"NOAH";"POWELL";"1975-09-02";"M";"M";"noah5@adventure-works.com";40000;0;"High School";"Skilled Manual";"Y"
11063;"MS.";"ANGELA";"MURPHY";"1975-04-07";"S";"F";"angela41@adventure-works.com";40000;0;"High School";"Skilled Manual";"Y"
11064;"MR.";"CHASE";"REED";"1975-12-07";"M";"M";"chase21@adventure-works.com";40000;0;"High School";"Skilled Manual";"Y"
11065;"MS.";"JESSICA";"HENDERSON";"1973-10-09";"M";"F";"jessica29@adventure-works.com";60000;0;"Partial College";"Skilled Manual";"N"
11066;"MS.";"GRACE";"BUTLER";"1973-11-27";"M";"F";"grace62@adventure-works.com";70000;0;"Partial College";"Professional";"Y"
11067;"MR.";"CALEB";"CARTER";"1976-09-25";"S";"M";"caleb40@adventure-works.com";60000;0;"Partial College";"Professional";"Y"
11068;"MRS.";"TIFFANY";"LIANG";"1955-09-23";"S";"F";"tiffany17@adventure-works.com";80000;2;"High School";"Skilled Manual";"Y"
11069;"MRS.";"CAROLYN";"NAVARRO";"1955-09-21";"S";"F";"carolyn30@adventure-works.com";80000;2;"High School";"Skilled Manual";"N"
11070;"MR.";"WILLIE";"RAJI";"1955-04-05";"M";"M";"willie40@adventure-works.com";80000;2;"High School";"Skilled Manual";"Y"
11071;"MRS.";"LINDA";"SERRANO";"1955-06-26";"S";"F";"linda31@adventure-works.com";80000;2;"High School";"Skilled Manual";"Y"
11072;"MRS.";"CASEY";"LUO";"1955-02-06";"S";"F";"casey6@adventure-works.com";80000;2;"High School";"Skilled Manual";"N"
11073;"MRS.";"AMY";"YE";"1956-08-14";"S";"F";"amy16@adventure-works.com";70000;2;"High School";"Skilled Manual";"Y"
11074;"MR.";"LEVI";"ARUN";"1956-08-28";"S";"M";"levi6@adventure-works.com";70000;2;"High School";"Skilled Manual";"Y"
11075;"MRS.";"FELICIA";"JIMENEZ";"1957-11-16";"S";"F";"felicia4@adventure-works.com";80000;2;"High School";"Professional";"Y"
11076;"MR.";"BLAKE";"ANDERSON";"1957-07-13";"S";"M";"blake9@adventure-works.com";80000;2;"High School";"Professional";"Y"
